Question,Answer
"Какие документы нужны, чтобы оформить карту?","Достаточно паспорта, если вы гражданин России. Вместо паспорта можно предъявить военный билет, удостоверение военнослужащего или моряка.Если вы гражданин другой страны, понадобятся 3 документа: паспорт иностранного гражданина или другой документ, удостоверяющий личность, миграционная карта, документ, подтверждающий право на пребывание в России. Если паспорта нет, подойдут удостоверение беженца, свидетельство о рассмотрении ходатайства о признании лица беженцем на территории РФ или свидетельство о предоставлении временного убежища на территории РФ.Если вы гражданин Беларуси, Казахстана или Украины с видом на жительство в России, миграционная карта не понадобится. Если у вас нет гражданства, предоставьте 4 документа: вид на жительство, разрешение на временное проживание или другой документ, удостоверяющий личность, миграционную карту, документ, подтверждающий право на пребывание в России. К документу на иностранном языке приложите заверенный перевод."
"Какие документы требуются для получения банковской карты?","Достаточно паспорта, если вы гражданин России. Вместо паспорта можно предъявить военный билет, удостоверение военнослужащего или моряка.Если вы гражданин другой страны, понадобятся 3 документа: паспорт иностранного гражданина или другой документ, удостоверяющий личность, миграционная карта, документ, подтверждающий право на пребывание в России. Если паспорта нет, подойдут удостоверение беженца, свидетельство о рассмотрении ходатайства о признании лица беженцем на территории РФ или свидетельство о предоставлении временного убежища на территории РФ.Если вы гражданин Беларуси, Казахстана или Украины с видом на жительство в России, миграционная карта не понадобится. Если у вас нет гражданства, предоставьте 4 документа: вид на жительство, разрешение на временное проживание или другой документ, удостоверяющий личность, миграционную карту, документ, подтверждающий право на пребывание в России. К документу на иностранном языке приложите заверенный перевод."
"Что нужно предоставить, чтобы оформить карту в банке?","Достаточно паспорта, если вы гражданин России. Вместо паспорта можно предъявить военный билет, удостоверение военнослужащего или моряка.Если вы гражданин другой страны, понадобятся 3 документа: паспорт иностранного гражданина или другой документ, удостоверяющий личность, миграционная карта, документ, подтверждающий право на пребывание в России. Если паспорта нет, подойдут удостоверение беженца, свидетельство о рассмотрении ходатайства о признании лица беженцем на территории РФ или свидетельство о предоставлении временного убежища на территории РФ.Если вы гражданин Беларуси, Казахстана или Украины с видом на жительство в России, миграционная карта не понадобится. Если у вас нет гражданства, предоставьте 4 документа: вид на жительство, разрешение на временное проживание или другой документ, удостоверяющий личность, миграционную карту, документ, подтверждающий право на пребывание в России. К документу на иностранном языке приложите заверенный перевод."
"Какие бумаги нужны для оформления кредитной карты?","Достаточно паспорта, если вы гражданин России. Вместо паспорта можно предъявить военный билет, удостоверение военнослужащего или моряка.Если вы гражданин другой страны, понадобятся 3 документа: паспорт иностранного гражданина или другой документ, удостоверяющий личность, миграционная карта, документ, подтверждающий право на пребывание в России. Если паспорта нет, подойдут удостоверение беженца, свидетельство о рассмотрении ходатайства о признании лица беженцем на территории РФ или свидетельство о предоставлении временного убежища на территории РФ.Если вы гражданин Беларуси, Казахстана или Украины с видом на жительство в России, миграционная карта не понадобится. Если у вас нет гражданства, предоставьте 4 документа: вид на жительство, разрешение на временное проживание или другой документ, удостоверяющий личность, миграционную карту, документ, подтверждающий право на пребывание в России. К документу на иностранном языке приложите заверенный перевод."
"Какие документы необходимо собрать для выпуска дебетной карты?","Достаточно паспорта, если вы гражданин России. Вместо паспорта можно предъявить военный билет, удостоверение военнослужащего или моряка.Если вы гражданин другой страны, понадобятся 3 документа: паспорт иностранного гражданина или другой документ, удостоверяющий личность, миграционная карта, документ, подтверждающий право на пребывание в России. Если паспорта нет, подойдут удостоверение беженца, свидетельство о рассмотрении ходатайства о признании лица беженцем на территории РФ или свидетельство о предоставлении временного убежища на территории РФ.Если вы гражданин Беларуси, Казахстана или Украины с видом на жительство в России, миграционная карта не понадобится. Если у вас нет гражданства, предоставьте 4 документа: вид на жительство, разрешение на временное проживание или другой документ, удостоверяющий личность, миграционную карту, документ, подтверждающий право на пребывание в России. К документу на иностранном языке приложите заверенный перевод."
"Какие основные документы следует приготовить для запроса карты в финансовом учреждении?","Достаточно паспорта, если вы гражданин России. Вместо паспорта можно предъявить военный билет, удостоверение военнослужащего или моряка.Если вы гражданин другой страны, понадобятся 3 документа: паспорт иностранного гражданина или другой документ, удостоверяющий личность, миграционная карта, документ, подтверждающий право на пребывание в России. Если паспорта нет, подойдут удостоверение беженца, свидетельство о рассмотрении ходатайства о признании лица беженцем на территории РФ или свидетельство о предоставлении временного убежища на территории РФ.Если вы гражданин Беларуси, Казахстана или Украины с видом на жительство в России, миграционная карта не понадобится. Если у вас нет гражданства, предоставьте 4 документа: вид на жительство, разрешение на временное проживание или другой документ, удостоверяющий личность, миграционную карту, документ, подтверждающий право на пребывание в России. К документу на иностранном языке приложите заверенный перевод."
"Как узнать баланс карты?","Есть несколько способов узнать, сколько денег на карте: В СберБанк Онлайн просто найдите нужную карту Запросите у голосового помощника: позвоните на номер 900 со своего телефона, привязанного к смс-банку, и скажите «Баланс по карте» В банкомате: вставьте карту, введите ПИН-код  и  нажмите «Показать баланс» Отправьте на номер 900 смс-команду БАЛАНС 1234, где 1234 — последние 4 цифры карты Чтобы быстро узнавать о списаниях и зачислениях по карте, подключите уведомления об операциях (СМС и пуш-уведомления об операциях)."
"Как можно проверить остаток на карте?","Есть несколько способов узнать, сколько денег на карте: В СберБанк Онлайн просто найдите нужную карту Запросите у голосового помощника: позвоните на номер 900 со своего телефона, привязанного к смс-банку, и скажите «Баланс по карте» В банкомате: вставьте карту, введите ПИН-код  и  нажмите «Показать баланс» Отправьте на номер 900 смс-команду БАЛАНС 1234, где 1234 — последние 4 цифры карты Чтобы быстро узнавать о списаниях и зачислениях по карте, подключите уведомления об операциях (СМС и пуш-уведомления об операциях)."
"Как узнать текущий баланс своей банковской карты?","Есть несколько способов узнать, сколько денег на карте: В СберБанк Онлайн просто найдите нужную карту Запросите у голосового помощника: позвоните на номер 900 со своего телефона, привязанного к смс-банку, и скажите «Баланс по карте» В банкомате: вставьте карту, введите ПИН-код  и  нажмите «Показать баланс» Отправьте на номер 900 смс-команду БАЛАНС 1234, где 1234 — последние 4 цифры карты Чтобы быстро узнавать о списаниях и зачислениях по карте, подключите уведомления об операциях (СМС и пуш-уведомления об операциях)."
"Какие способы доступны для проверки баланса на карте?","Есть несколько способов узнать, сколько денег на карте: В СберБанк Онлайн просто найдите нужную карту Запросите у голосового помощника: позвоните на номер 900 со своего телефона, привязанного к смс-банку, и скажите «Баланс по карте» В банкомате: вставьте карту, введите ПИН-код  и  нажмите «Показать баланс» Отправьте на номер 900 смс-команду БАЛАНС 1234, где 1234 — последние 4 цифры карты Чтобы быстро узнавать о списаниях и зачислениях по карте, подключите уведомления об операциях (СМС и пуш-уведомления об операциях)."
